"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.13,0.55,0.32,"DEVINESAMUELL","OH",12,0.24,1.71,4.5,0,1.07,1.42,93,0,1,0,0,0
0.11,0.54,0.35,"DEVINESAMUELL","OH",12,0.03,1.71,4.43,0,0.93,1.46,94,0,1,0,0,0
0.15,0.59,0.26,"DEVINESAMUELL","OH",12,0.02,1.71,4.42,0,0.8,1.53,95,0,1,0,0,0
0.06,0.62,0.32,"DEVINESAMUELL","OH",12,0.27,1.71,4.4,0,0.8,1.46,96,0,1,1,0,0
0.19,0.71,0.1,"DIGGSCHARLESCJR","MI",13,1.41,1.71,4.92,0,0.47,1.46,93,1,0,0,0,0
0.07,0.81,0.12,"DIGGSCHARLESCJR","MI",13,1.5,1.71,4.76,0,0.8,1.5,94,1,0,0,0,0
0.1,0.76,0.15,"DIGGSCHARLESCJR","MI",13,1.56,1.71,4.92,0,0.73,1.57,95,1,0,0,0,0
0.01,0.83,0.17,"DIGGSCHARLESCJR","MI",13,1.13,0.82,4.82,0,0.87,1.5,96,0,0,0,0,1
0.25,0.56,0.18,"DINGELLJOHND","MI",16,0.76,1.23,4.23,0,0.47,1.23,93,0,0,0,0,0
0.11,0.75,0.14,"DINGELLJOHND","MI",16,1.13,1.71,4.13,0,0.8,1.27,94,0,0,0,0,0
0.19,0.62,0.19,"DINGELLJOHND","MI",16,1.04,1.1,4.14,0,0.73,1.33,95,0,0,0,0,0
0.13,0.65,0.22,"DINGELLJOHND","MI",16,1.07,1.71,4.1,0,0.87,1.27,96,0,0,0,0,0
0.09,0.62,0.29,"DINGELLJOHND","MI",16,0.82,1.31,4.07,0,0.73,1.35,97,1,0,0,0,0
0.08,0.72,0.2,"DINGELLJOHND","MI",16,0.94,1.71,4.06,0,0.73,1.58,98,1,0,0,0,0
0.05,0.68,0.27,"DINGELLJOHND","MI",16,0.54,1.71,4,0,0.73,1.67,99,1,0,0,0,0
0.03,0.7,0.27,"DINGELLJOHND","MI",16,1.08,1.44,4.15,0,0.73,1.67,100,1,0,0,0,0
0.01,0.61,0.38,"DINGELLJOHND","MI",16,1.83,1.71,4.12,0,0.73,1.72,101,1,0,0,0,0
0.06,0.71,0.23,"DINGELLJOHND","MI",16,0.68,1.71,4.07,0,0.73,1.67,102,1,0,0,0,0
0.03,0.59,0.38,"DINGELLJOHND","MI",16,0.68,1.71,4.04,0,0.6,1.42,103,1,0,0,0,0
0.05,0.61,0.33,"DINGELLJOHND","MI",16,0.38,1.71,4,0,0.6,1.06,104,0,1,0,0,0
0.03,0.7,0.27,"DINGELLJOHND","MI",16,0.52,1.71,4.01,0,0.67,1.19,105,0,1,0,0,0
0.04,0.73,0.23,"DINGELLJOHND","MI",16,0.7,1.71,3.97,0,0.67,1.34,106,0,1,0,0,0
0.01,0.57,0.42,"DINGELLJOHND","MI",16,0.88,1.71,"NA",0,0.6,1.32,107,0,1,0,0,0
0.01,0.53,0.46,"DINGELLJOHND","MI",15,0.92,0.3,4.26,0,0.4,"NA",108,0,1,0,0,0
0.19,0.62,0.19,"DONOHUEHAROLDD","MA",3,1.93,1.71,4.26,0,0.6,0.76,93,0,0,0,0,1
0.5,0.32,0.17,"DORNWILLIAMJENNINGSBRYAN","SC",3,0.98,1.71,3.68,0,0.27,0.27,93,1,0,0,1,0
0.28,0.46,0.26,"DOWNINGTHOMASN","VA",1,1.09,1.71,3.46,0,0.2,0.08,93,0,0,0,0,0
0.37,0.45,0.17,"DOWNINGTHOMASN","VA",1,1.93,1.71,3.34,0,0.33,0.08,94,0,0,0,0,1
0.34,0.49,0.16,"DULSKITHADDEUSJ","NY",37,0.97,1.71,3.42,0,1.4,0.65,93,1,0,0,0,1
0.25,0.5,0.25,"EVINSJOEL","TN",4,1.2,1.71,3.8,0,0.2,0.56,93,0,0,0,0,0
0.3,0.5,0.2,"EVINSJOEL","TN",4,1.93,1.71,3.75,0,0.33,0.57,94,1,0,0,0,1
0.17,0.62,0.21,"FASCELLDANTEB","FL",15,0.26,1.71,2.8,0,0.6,0.8,93,0,0,0,0,0
0.07,0.77,0.16,"FASCELLDANTEB","FL",15,0.79,1.71,2.2,0,0.27,0.83,94,0,0,0,0,0
0.04,0.69,0.27,"FASCELLDANTEB","FL",15,0.94,1.71,3.05,0,0.53,0.83,96,0,0,0,0,0
0.07,0.64,0.29,"FASCELLDANTEB","FL",15,0.59,1.71,2.97,0,0.47,0.88,97,0,0,0,0,0
0.03,0.72,0.24,"FASCELLDANTEB","FL",19,0.34,1.71,2.78,0,0.47,1.03,98,1,0,0,0,0
0.05,0.66,0.29,"FASCELLDANTEB","FL",19,0.55,1.71,2.75,0,0.53,1.09,99,1,0,0,0,0
0.04,0.68,0.28,"FASCELLDANTEB","FL",19,0.74,1.71,2.49,0,0.27,1.09,100,1,0,0,0,0
0,0.62,0.38,"FASCELLDANTEB","FL",19,0.87,1.19,2.65,0,0.27,1.12,101,1,0,0,0,0
0.03,0.7,0.27,"FASCELLDANTEB","FL",19,0.46,1.71,2.53,0,0.47,1.09,102,1,0,0,0,1
0.19,0.42,0.38,"FISHEROC","TX",21,0.26,1.71,3.46,0,1.2,0.37,93,0,0,0,0,1
0.15,0.6,0.26,"FLOODDANIELJ","PA",11,0.71,1.3,4.12,0,0.87,0.95,93,0,0,0,0,0
0.15,0.62,0.23,"FLOODDANIELJ","PA",11,0.95,1.71,3.96,0,0.93,0.98,94,0,0,0,0,0
0.08,0.69,0.23,"FLOODDANIELJ","PA",11,0.81,1.71,3.97,0,1.07,1.02,95,0,0,0,0,0
0.51,0.3,0.19,"FLYNTJOHNJJR","GA",6,1.93,0.93,4,0,0.6,0.43,93,0,0,0,0,0
0.58,0.28,0.14,"FLYNTJOHNJJR","GA",6,0.06,1.71,3.79,0,0.67,0.45,94,1,0,0,0,0
0.37,0.4,0.22,"FLYNTJOHNJJR","GA",6,0.07,0.53,3.9,0,0.6,0.47,95,1,0,0,0,1
0.41,0.41,0.18,"FORDGERALDRJR","MI",5,0.46,1.71,4.27,0,0.8,0.76,93,0,0,0,1,0
0.25,0.49,0.25,"FOUNTAINLH","NC",2,0.84,0.3,4.19,0,0.47,0.13,93,0,0,0,0,0
0.13,0.57,0.29,"FOUNTAINLH","NC",2,1.93,1.71,4.02,0,0.47,0.14,94,0,0,0,0,0
0.11,0.59,0.3,"FOUNTAINLH","NC",2,1.93,0.36,4.07,0,0.53,0.14,95,0,0,0,0,0
0.06,0.57,0.37,"FOUNTAINLH","NC",2,1.14,0.85,4.08,0,0.47,0.14,96,0,0,0,0,0
0.01,0.52,0.47,"FOUNTAINLH","NC",2,0.91,1.71,4.09,0,0.4,0.15,97,0,0,0,0,1
0.09,0.53,0.38,"FRELINGHUYSENPETERHB","NJ",5,0.46,1.71,4.13,0,0.47,0.43,93,0,1,0,0,1
0.14,0.65,0.21,"GIAIMOROBERTN","CT",3,0.67,1.71,3.79,0,0.2,0.83,94,0,0,0,0,0
0.23,0.57,0.19,"GIAIMOROBERTN","CT",3,0.22,1.71,3.77,0,0.2,0.87,95,1,0,0,0,0
0.3,0.51,0.18,"GRAYKENNETHJ","IL",24,1.69,1.71,4.24,0,0.6,0.72,93,0,0,0,0,1
0.16,0.56,0.28,"GREENEDITH","OR",3,0.48,1.71,3.8,0,0.13,0.95,93,0,0,0,0,1
0.3,0.53,0.17,"GRIFFITHSMARTHAW","MI",17,0.66,1.71,3.87,0,0.47,0.88,93,0,0,0,0,1
0.33,0.44,0.24,"GROSSHR","IA",3,0.22,1.71,4.38,0,0.2,1.68,93,0,1,0,0,1
0.5,0.29,0.21,"GUBSERCHARLESS","CA",10,0.57,1.71,3.71,0,1.33,0.56,93,0,0,0,0,1
